stable_track_id,spotify_track_id,expected_title,expected_artists,expected_album,expected_release_year,case_tags,case_rationale,query,candidate_1_url,candidate_1_video_id,candidate_1_title,candidate_1_description,candidate_2_url,candidate_2_video_id,candidate_2_title,candidate_2_description,candidate_3_url,candidate_3_video_id,candidate_3_title,candidate_3_description,candidate_4_url,candidate_4_video_id,candidate_4_title,candidate_4_description,candidate_5_url,candidate_5_video_id,candidate_5_title,candidate_5_description,review_label,optional_note
s5b1a_011,,Lose Yourself,Eminem,8 Mile,2002,hip_hop | many_unofficial_uploads | version_ambiguity,"Popular hip-hop track with soundtrack, lyric, clean, explicit, and unofficial uploads.","""Eminem"" ""Lose Yourself"" official",https://www.youtube.com/watch?v=xFYQQPAOz7Y,xFYQQPAOz7Y,Eminem - Lose Yourself - YouTube,Eminem - Lose Yourself https://www.eminem.com/ https ... Adele - Hello (Official Music Video). Adele•3.2B views · 10:05. Go ...,https://www.youtube.com/watch?v=7YuAzR2XVAM,7YuAzR2XVAM,Eminem - Lose Yourself (Official Video) (Explicit) - YouTube,Lose Yourself by Eminem. (C) 2002 Eight Mile Style/Shady/Interscope Records. #Eminem #LoseYourself.,https://www.youtube.com/watch?v=_Yhyp-_hX2s,_Yhyp-_hX2s,Eminem - Lose Yourself [HD] - YouTube,"Comments · Eminem - Till I Collapse [HD] · Eminem - Lose Yourself (Remix) 2Pac, The Notorious B.I.G., Method Man, Ice Cube, Eazy-E, Dr. · The ...",https://www.youtube.com/watch?v=tR1ECf4sEpw,tR1ECf4sEpw,Eminem - Lose Yourself (Lyrics) - YouTube,Follow 7clouds on Spotify : http://bit.ly/7CLOUDS Eminem - Lose Yourself (Lyrics) ⏬ Download / Stream: https://spoti.fi/38V2Bn7 Turn ...,https://www.youtube.com/watch?v=xYtaBfwpg_k,xYtaBfwpg_k,Eminem - LOSE YOURSELF (Sung by 331 Movies!) - YouTube,"Eminem's smash hit: Lose Yourself, gets the CinemaSings treatment. Open to sponsorships and commissions! If you're a company or individual ...",,
s5b1a_012,,Mr. Brightside,The Killers,Hot Fuss,2004,rock_alternative | many_covers | older_popular_recording,"Long-lived rock/alternative hit with covers, live versions, and remixes.","""The Killers"" ""Mr. Brightside"" official",,,,,,,,,,,,,,,,,,,,,,
s5b1a_013,,Thinkin Bout You,Frank Ocean,channel ORANGE,2012,r_and_b | many_unofficial_uploads,Popular R&B studio recording with frequent unofficial and lyric uploads.,"""Frank Ocean"" ""Thinkin Bout You"" official",https://www.youtube.com/watch?v=6JHu3b-pbh8,6JHu3b-pbh8,Thinkin Bout You - YouTube,Provided to YouTube by Universal Music Group Thinkin Bout You · Frank Ocean channel ORANGE ℗ 2012 The Island Def Jam Music Group Released ...,https://www.youtube.com/watch?v=V4VA4XAskn4,V4VA4XAskn4,Frank Ocean - Thinking About You ( unofficial music video) - YouTube,... thinkin-bout-you-single/516813864 Frank Ocean iTunes page : https://itunes.apple.com/ca/artist/frank-ocean ... Flea - Thinkin Bout You (Official ...,https://www.youtube.com/watch?v=aWUWC21_HE8,aWUWC21_HE8,"Frank Ocean— Thinkin Bout You Live on SNL, Full performance - YouTube","Frank Ocean— Thinkin Bout You Live on SNL, Full performance · Comments.",https://www.youtube.com/watch?v=Tg1JN0BGC5o,Tg1JN0BGC5o,Thinkin' Bout You-Frank Ocean - YouTube,Full Cover. Thinkin' Bout You-Frank Ocean. @jordanpruitt122 likes3.8K views7 years ago more. Subscribe. Comments. 8. Comment.,https://www.youtube.com/watch?v=uqkb6oJyuNM,uqkb6oJyuNM,Frank Ocean - Thinkin Bout You (Lyrics) - YouTube,"Comments ; Frank Ocean - Pink + White (Lyrics). TheGoodVibe · 5.1M views ; Frank Ocean— Thinkin Bout You Live on SNL, Full performance. I am bald ...",,
s5b1a_014,,Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,2022,latin | diacritics | global_crossover,Latin hit exercises non-ASCII title punctuation and language-independent URL discovery.,"""Bad Bunny"" ""Tití Me Preguntó"" official",,,,,,,,,,,,,,,,,,,,,,
s5b1a_015,,Tennessee Whiskey,Chris Stapleton,Traveller,2015,country | many_covers | ambiguous_title,Country recording with a common title and an unusually dense cover ecosystem.,"""Chris Stapleton"" ""Tennessee Whiskey"" official",https://www.youtube.com/watch?v=4zAThXFOy2c,4zAThXFOy2c,Chris Stapleton - Tennessee Whiskey (Official Audio),Purchase Chris Stapleton's latest music: http://umgn.us/chrisstapletonpurchase Stream the latest from Chris Stapleton: http://umgn.us/chrisstapletonstream ...,,,,,,,,,,,,,,,,,,
s5b1a_016,,Dynamite,BTS,BE,2020,k_pop | global_crossover | many_official_variants,"K-pop/global crossover with official video, choreography, performance, and lyric variants.","""BTS"" ""Dynamite"" official",,,,,,,,,,,,,,,,,,,,,,
s5b1a_017,,This Is America,Childish Gambino,,2018,official_video_differs | hip_hop | video_first_release,The famous official video is semantically important and differs from a plain audio presentation.,"""Childish Gambino"" ""This Is America"" official",https://www.youtube.com/watch?v=VYOjWnS4cMY,VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),"Official Video for ""This Is America"" by Childish Gambino Listen to Childish Gambino: https://ChildishGambino.lnk.to/listenYD Watch more Childish Gambino ...",,,,,,,,,,,,,,,,,,
s5b1a_018,,Somebody That I Used to Know,Gotye | Kimbra,Making Mirrors,2011,multiple_artists | many_covers | alternative_pop,"Multi-artist crossover hit with many covers, parodies, and lyric uploads.","""Gotye"" ""Somebody That I Used to Know"" official",https://www.youtube.com/watch?v=8UVNT4wvIGY,8UVNT4wvIGY,Somebody That I Used To Know (feat. Kimbra) [Official Music Video],"The official music video for “Somebody That I Used To Know” by Gotye, featuring Kimbra. From the album Making Mirrors.",https://www.youtube.com/watch?v=Vs2g3m-VvSc,Vs2g3m-VvSc,Gotye & Kimbra - Somebody That I Used To Know (Live You Oughta ...,Gotye & Kimbra performing Somebody That I Used To Know live @ You Oughta Know Follow Kimbra: Website: https://www.kimbramusic.com Facebook: ...,https://www.youtube.com/watch?v=E87JdbqStx8,E87JdbqStx8,"Gotye “Somebody That I Used To Know"" (ft. The Basics & Monty ...","Gotye “Somebody That I Used To Know"" (ft. The Basics & Monty Cotton) [Official Video] · Comments.",https://www.youtube.com/watch?v=jg51kFe7CWU,jg51kFe7CWU,Somebody That I Used To Know - YouTube,Provided to YouTube by Universal Music Group Somebody That I Used To Know · Gotye · Kimbra Making Mirrors ℗ 2011 Samples 'n' Seconds Records ...,https://www.youtube.com/watch?v=Q7DtJJSVPsk,Q7DtJJSVPsk,Somebody That I Used To Know - Gotye (Lyrics) ft. Kimbra - YouTube,Gotye - Somebody That I Used To Know (Lyrics) feat. Kimbra From the album Making Mirrors Official Gotye Store: https://store.gotye.com/ ...,,
s5b1a_019,,Roses - Imanbek Remix,SAINt JHN | Imanbek,,2019,actual_remix | version_markers | electronic,The intended commercial target is explicitly a remix rather than the similarly named original.,"""SAINt JHN"" ""Roses - Imanbek Remix"" official",https://www.youtube.com/watch?v=2zToEPpFEN8,2zToEPpFEN8,SAINt JHN - Roses (Imanbek Remix) (Official Music Video) - YouTube,SAINt JHN - Roses (Imanbek Remix) (Ghetto Lenny One Takes) [Lyric Video] Stream/Download/Buy: https://marvellousmusic.lnk.to/rosesID ...,https://www.youtube.com/watch?v=ele2DMU49Jk,ele2DMU49Jk,"SAINt JHN - ""Roses"" Imanbek Remix (Official Audio) - YouTube","SAINt JHN - ""Roses"" Imanbek Remix (Official Audio) · Comments.",https://www.youtube.com/watch?v=XHA-QM-q-3E,XHA-QM-q-3E,SAINt JHN - Roses [Official Music Video] - YouTube,"Comments ; SAINt JHN - Roses (Imanbek Remix) (Official Music Video). SAINt JHN · 398M views ; SAINt JHN - ""Roses"" Remix ft. Future (Official Music ...",https://www.youtube.com/watch?v=jOMHWVv0xX4,jOMHWVv0xX4,SAINt JHN - ROSES (Official Music Video) Imanbek Remix - YouTube,"Comments · SAINt JHN - Roses (Imanbek Remix) (Official Music Video) · UNPREDICTABLE Dancers Made The Judges Forget How To BLINK! · When ""ROADMEN"" ...",https://www.youtube.com/watch?v=W2LB19PBeiY,W2LB19PBeiY,SAINt JHN - THE BEST PART OF LIFE (Imanbek Remix) (Lyric Video),Comments · Honey · SAINt JHN - Roses (Imanbek Remix) (Official Music Video) · SAINt JHN - THE BEST PART OF LIFE (LYRIC VIDEO) · Sickick - Official ...,,
s5b1a_020,,Fix You - Live in Buenos Aires,Coldplay,Live in Buenos Aires,2018,actual_live_recording | version_markers | rock_alternative,"The intended target is an actual official live recording, reversing the usual live-version risk.","""Coldplay"" ""Fix You - Live in Buenos Aires"" official",https://www.youtube.com/watch?v=2lCmSGyx_kw,2lCmSGyx_kw,Coldplay - Fix you - Live in Buenos Aires River Plate Stadium ...,Coldplay - Fix you - Live in Buenos Aires River Plate Stadium Saturday October 29 2022. 106 views · 3 years ago. ESTADIO MÂS MONUMENTAL ...more ...,https://www.youtube.com/watch?v=du2j3G-hBy0,du2j3G-hBy0,Coldplay - Fix you (Live in Buenos Aires - 2016),MIRÁ LA PRUEBA DE SONIDO (EXCLUSIVO!!!): • Coldplay Argentina - S... Coldplay - Fix you (Live in Buenos Aires - 2016). @macarenafbartol64721 ...,https://www.youtube.com/watch?v=ygHxEuqEL2E,ygHxEuqEL2E,Coldplay - Fix You - Live in Buenos Aires 14/11/17,Coldplay - Fix You - Live in Buenos Aires 14/11/17. @MrRomiberryman2 likes125 ... Coldplay - Fix You (Live in Argentina 15/11/17). Ignacio Ledesma•16K ...,,,,,,,,,,
s5b1a_021,,GANGNAM STYLE,PSY,"PSY 6 (Six Rules), Pt. 1",2012,global_crossover | k_pop | many_performance_variants,"Global crossover with capitalization, non-English context, and many dance/performance uploads.","""PSY"" ""GANGNAM STYLE"" official",https://www.youtube.com/watch?v=KPo5lx_2f24,KPo5lx_2f24,PSY Gangnam Style ( Official Video ),Claudio Marino.,https://www.youtube.com/watch?v=CH1XGdu-hzQ,CH1XGdu-hzQ,PSY- Gangnam Style (Official Music Video),Love WildManChris.,,,,,,,,,,,,,,
s5b1a_022,,"Sugar, We're Goin Down",Fall Out Boy,From Under the Cork Tree,2005,punctuation_heavy_title | rock_alternative,"Comma, apostrophe, and contraction punctuation stress exact deterministic quoting.","""Fall Out Boy"" ""Sugar, We're Goin Down"" official",https://www.youtube.com/watch?v=uhG-vLZrb-g,uhG-vLZrb-g,"Fall Out Boy - Sugar, We're Goin Down (Official Music Video)","Official video for Fall Out Boy “Sugar, We're Goin Down” from the 2005 album, From Under the Cork Tree. Listen to Fall Out Boy: ...",https://www.youtube.com/watch?v=_2eTNxPxXRc,_2eTNxPxXRc,"Sugar, We're Goin Down - YouTube","Provided to YouTube by Universal Music Group Sugar, We're Goin Down · Fall Out Boy From Under The Cork Tree ℗ 2005 Island Records, ...",https://www.youtube.com/watch?v=H_IEIG57FRc,H_IEIG57FRc,"Fall Out Boy - Sugar, We're Goin Down (Lyrics) - YouTube","Follow the official 7clouds playlist on Spotify : http://spoti.fi/2SJsUcZ ​ Fall Out Boy - Sugar, We're Goin Down (Lyrics) ⏬ Download ...",https://www.youtube.com/watch?v=_Pgz6CzpZoo,_Pgz6CzpZoo,"Fall Out Boy ""Sugar, We're Goin Down"" | One Song Podcast - Full Episode","Is “Sugar, We're Goin Down” emo's ultimate anthem? Diallo and LUXXURY dive into Fall Out Boy's breakout hit, charting the band's journey ...",https://www.youtube.com/watch?v=_KZSVAwqBpc,_KZSVAwqBpc,"Sugar, We're Goin' Down (Boys Of Zummer Live In Chicago) - YouTube","Fall Out Boy - Sugar, We're Goin' Down (Boys Of Zummer Live In Chicago) · Comments.",,
s5b1a_023,,Telephone,Lady Gaga | Beyoncé,The Fame Monster,2009,official_video_duration_differs | multiple_artists | pop,The official music video is much longer than the studio track and competes with audio uploads.,"""Lady Gaga"" ""Telephone"" official",https://www.youtube.com/watch?v=EVBsypHzF3U,EVBsypHzF3U,Lady Gaga - Telephone ft. Beyoncé (Official Music Video) ft ... - YouTube,Lady Gaga - Telephone ft. Beyoncé (Official Music Video) ft. Beyoncé · Comments.,https://www.youtube.com/watch?v=1Ea8Rj2wQ2w,1Ea8Rj2wQ2w,Lady Gaga - Telephone (Lyrics) Ft. Beyoncé - YouTube,"Lady Gaga - Telephone Ft. Beyoncé (Lyrics) Stream “Telephone"" by Lady Gaga: https://open.spotify.com/intl-es/artist/1HY2Jd0NmPuamShAr6KMms ...",https://www.youtube.com/watch?v=XkGIneCJRlc,XkGIneCJRlc,Telephone - YouTube,"Provided to YouTube by Universal Music Group Telephone · Lady Gaga · Beyoncé The Fame Monster ℗ 2009 UMG Recordings, Inc. Released on: ...",https://www.youtube.com/watch?v=2hsUXhlNbMs,2hsUXhlNbMs,Lady GaGa - Telephone Feat Beyoncé Official Video - YouTube,"Telephone"" is a song by American recording artist Lady Gaga from her second studio album The Fame Monster, featuring American R&B singer ...",https://www.youtube.com/watch?v=ZkCnYJhTFLo,ZkCnYJhTFLo,Lady Gaga - Telephone (feat. Beyoncé) - YouTube,"Official Video for ""Telephone (feat. Beyoncé)"" by Lady Gaga.",,
s5b1a_024,,HUMBLE.,Kendrick Lamar,DAMN.,2017,punctuation_heavy_title | explicit_version | hip_hop,All-caps title with terminal punctuation and explicit/clean variants.,"""Kendrick Lamar"" ""HUMBLE."" official",https://www.youtube.com/watch?v=tvTRZJ-4EyI,tvTRZJ-4EyI,Kendrick Lamar - HUMBLE. - YouTube,Kendrick Lamar - HUMBLE. · Comments.,https://www.youtube.com/watch?v=jBvrQmtn4aQ,jBvrQmtn4aQ,Kendrick Lamar - HUMBLE. (Lyrics) - YouTube,Follow the official 7clouds playlist on Spotify : http://spoti.fi/2SJsUcZ ​ Kendrick Lamar - HUMBLE. (Lyrics) ⏬ Download / Stream: ...,https://www.youtube.com/watch?v=ov4WobPqoSA,ov4WobPqoSA,HUMBLE. - YouTube,Provided to YouTube by Universal Music Group HUMBLE. · Kendrick Lamar DAMN. COLLECTORS EDITION. ℗ 2017 Aftermath/Interscope (Top Dawg ...,https://www.youtube.com/watch?v=gh72dXr4fTM,gh72dXr4fTM,Kendrick Lamar - HUMBLE. (Skrillex Remix) [Official Audio] - YouTube,Kendrick Lamar - Humble (Skrillex Remix) [Official Audio] Watch the official audio video for Skrillex's remix of “Humble” by Kendrick Lamar ...,https://www.youtube.com/watch?v=MXaqpJmX7JE,MXaqpJmX7JE,Kendrick Lamar - HUMBLE. Official Music Video - YouTube,Music video by Kendrick Lamar performing HUMBLE.. (C) 2017 Aftermath/Interscope (Top Dawg Entertainment),,
s5b1a_025,,Espresso,Sabrina Carpenter,Short n' Sweet,2024,straightforward_major_hit | recent_release | pop,Recent straightforward pop hit checks that the frozen set is not limited to legacy catalog behavior.,"""Sabrina Carpenter"" ""Espresso"" official",https://www.youtube.com/watch?v=4h0a1NCeC14,4h0a1NCeC14,Sabrina Carpenter - Espresso - YouTube,Sabrina Carpenter - Espresso » Descargar: https://SabrinaCarpenter.lnk.to/Espresso » Apoyo Sabrina Carpenter: ...,https://www.youtube.com/watch?v=OHSZ8XQM3xE,OHSZ8XQM3xE,Espresso - YouTube,Provided to YouTube by Universal Music Group Espresso · Sabrina Carpenter ... Dua Lipa - Levitating Featuring DaBaby (Official Music Video).,https://www.youtube.com/watch?v=PfbPKnTBdZI,PfbPKnTBdZI,Sabrina Carpenter - Espresso (Official Music Video) [4K 120FPS - YouTube,Sabrina Carpenter - Espresso (Official Music Video) [4K 120FPS • DTS-HD 5.1] · Comments.,https://www.youtube.com/watch?v=nrvQl4Nfqfc,nrvQl4Nfqfc,Sabrina Carpenter - Espresso - Live at Coachella 2026 - YouTube,Sabrina Carpenter - Espresso - Live at Coachella 2026 · Comments.,https://www.youtube.com/watch?v=D8j5Fm94_CE,D8j5Fm94_CE,Sabrina Carpenter - Espresso (Lyric Video) - YouTube,"Music video by Sabrina Carpenter performing Espresso (Lyric Video).© 2024 Island Records, a division of UMG Recordings, Inc.",,
