trial_id,question,choice,note,rated_by,choice_log
s2b_ccb45cfc629f36a7fe4d6bee,Which candidate sounds more like the query overall?,,,,
s2b_8a27b0064b156d85f455eb35,Which candidate sounds more like the query overall?,,,,
s2b_c678e6ab5b9e8987a5f9a274,Which candidate sounds more like the query overall?,,,,
s2b_717a5edae83fa19ca3f207d0,Which candidate sounds more like the query overall?,,,,
s2b_4e07ed3711a6c3a332522041,Which candidate sounds more like the query overall?,,,,
s2b_0b7373f8ede8ab10b1f0667c,Which candidate sounds more like the query overall?,,,,
s2b_11e4d7283a2c0a3fb83783d7,Which candidate sounds more like the query overall?,,,,
s2b_5d6460eeb306f111e9b7f1e1,Which candidate sounds more like the query overall?,,,,
s2b_480371f04a0f1fcd943da1d0,Which candidate sounds more like the query overall?,,,,
s2b_379a398759ed8afdadff2b65,Which candidate sounds more like the query overall?,,,,
s2b_9a49579d95e8ae38d4173c85,Which candidate sounds more like the query overall?,,,,
s2b_2a60b4ac5ad60564b53a7d4f,Which candidate sounds more like the query overall?,,,,
s2b_4fd02e77fe051e8f446ed67b,Which candidate sounds more like the query overall?,,,,
s2b_7b7efe3cfa6e19a54d8ba0c3,Which candidate sounds more like the query overall?,,,,
s2b_3d45797a10d7a1b1b5023f6a,Which candidate sounds more like the query overall?,,,,
s2b_53013c357988890de611b8e7,Which candidate sounds more like the query overall?,,,,
s2b_5a8855ce7fbc3d35218024da,Which candidate sounds more like the query overall?,,,,
s2b_6eacbd748f8378dd12c22f9a,Which candidate sounds more like the query overall?,,,,
s2b_eebab5b9699984f6f0be4672,Which candidate sounds more like the query overall?,,,,
s2b_df71384933cee93b33d8934f,Which candidate sounds more like the query overall?,,,,
s2b_5c36a6a7d584ff2d7ce88742,Which candidate sounds more like the query overall?,,,,
s2b_b1abe27ccd9f8959d2fcbffc,Which candidate sounds more like the query overall?,,,,
s2b_6ecc6fbcdc0959f277eda9ad,Which candidate sounds more like the query overall?,,,,
s2b_7da8feaf0272f3c1fa6475bb,Which candidate sounds more like the query overall?,,,,
s2b_f35829e97c3a1271e40cc67b,Which candidate sounds more like the query overall?,,,,
s2b_f0da95beedc77627ccd94b51,Which candidate sounds more like the query overall?,,,,
s2b_bb70d043252bf254295ed0ed,Which candidate sounds more like the query overall?,,,,
s2b_aa7c28f0b980e94ef6ebbe6b,Which candidate sounds more like the query overall?,,,,
s2b_2e368afbad2aa8b8365c72e3,Which candidate sounds more like the query overall?,,,,
s2b_487c2e8f736fb747122d86a5,Which candidate sounds more like the query overall?,,,,
s2b_e03d8a07ad7f341943b2a1d0,Which candidate sounds more like the query overall?,,,,
s2b_7b4444b74c0938e5496d93ed,Which candidate sounds more like the query overall?,,,,
s2b_e535accd899744a70901f8f9,Which candidate sounds more like the query overall?,,,,
s2b_d85b4bc41867b2cf5b268732,Which candidate sounds more like the query overall?,,,,
s2b_238d38b87154886a6762e72b,Which candidate sounds more like the query overall?,,,,
s2b_72935fb5c9ec2f6e013c367f,Which candidate sounds more like the query overall?,,,,
s2b_6120c24e46a4870799adef51,Which candidate sounds more like the query overall?,,,,
s2b_61b876a37d5be9d72d227593,Which candidate sounds more like the query overall?,,,,
s2b_d6eedfbd3de57320f2668934,Which candidate sounds more like the query overall?,,,,
s2b_5897ad1e3c7683d29fd3e60b,Which candidate sounds more like the query overall?,,,,
s2b_005b3aac3f7c6e8c07ef3bd2,Which candidate sounds more like the query overall?,,,,
s2b_eca3fda18150374d252c4920,Which candidate sounds more like the query overall?,,,,
s2b_da87af4069b68c19a350e05f,Which candidate sounds more like the query overall?,,,,
s2b_1a158782cbf4aa98744a9235,Which candidate sounds more like the query overall?,,,,
s2b_6b4dbf80a0a47bd4a2ddfef5,Which candidate sounds more like the query overall?,,,,
s2b_6d2952b9961a1a69a78c7bd8,Which candidate sounds more like the query overall?,,,,
s2b_2311862db9d3e7430eba62b5,Which candidate sounds more like the query overall?,,,,
s2b_1283bf154c9279cffeed09f0,Which candidate sounds more like the query overall?,,,,
s2b_5b4e5396a455575beb8098e1,Which candidate sounds more like the query overall?,,,,
s2b_f939186aba5baae8d1c38925,Which candidate sounds more like the query overall?,,,,
s2b_a83da4902c1a787da1a2cf18,Which candidate sounds more like the query overall?,,,,
s2b_e31d22422386a0312c1f34ff,Which candidate sounds more like the query overall?,,,,
s2b_f24cd189c9e0307e8e99dfcb,Which candidate sounds more like the query overall?,,,,
s2b_5403c8e70620eab9197ec0d7,Which candidate sounds more like the query overall?,,,,
s2b_52c9a61be74e8a13fd87f14e,Which candidate sounds more like the query overall?,,,,
s2b_0a9b9235adaebb553608a0db,Which candidate sounds more like the query overall?,,,,
s2b_ad1b24aed2137f475243ecc4,Which candidate sounds more like the query overall?,,,,
s2b_922d4c28311b8f5737759d11,Which candidate sounds more like the query overall?,,,,
s2b_143c2078195504759a13dffb,Which candidate sounds more like the query overall?,,,,
s2b_fc938b11deb9d022b8359a2b,Which candidate sounds more like the query overall?,,,,
s2b_a157c7f34fca2e0a5643ba06,Which candidate sounds more like the query overall?,,,,
s2b_ad635bd3484e19ee057024b2,Which candidate sounds more like the query overall?,,,,
s2b_dee7a61d182f6337f074c31b,Which candidate sounds more like the query overall?,,,,
s2b_add99fd176431afb5a55ce08,Which candidate sounds more like the query overall?,,,,
s2b_ae8d5e47490e63db46b6c7ab,Which candidate sounds more like the query overall?,,,,
s2b_454f2cfea1fdcc05e73dc7e6,Which candidate sounds more like the query overall?,,,,
s2b_c96db2e905b5f7c46163f5b4,Which candidate sounds more like the query overall?,,,,
s2b_04761110c9313a75884dbf11,Which candidate sounds more like the query overall?,,,,
s2b_fed0ad6e7e5c506141cf787c,Which candidate sounds more like the query overall?,,,,
s2b_f9cc0b8ba97fbb02c406670f,Which candidate sounds more like the query overall?,,,,
s2b_0d5cf7c7343e2f8289478222,Which candidate sounds more like the query overall?,,,,
s2b_8d45ed6049ff21650a51ba50,Which candidate sounds more like the query overall?,,,,
s2b_80d23a199dc4cbd5e2ce18c3,Which candidate sounds more like the query overall?,,,,
s2b_a29c58e1925f3c4ffdad9c0e,Which candidate sounds more like the query overall?,,,,
s2b_14ca9fc3886afd5514832ca4,Which candidate sounds more like the query overall?,,,,
s2b_88cd7af731bdf13477aa8ff7,Which candidate sounds more like the query overall?,,,,
s2b_16a549d460210c290257f805,Which candidate sounds more like the query overall?,,,,
s2b_0261c466352d38c0aefd7c22,Which candidate sounds more like the query overall?,,,,
s2b_936bb1ba2a652581aa2aad08,Which candidate sounds more like the query overall?,,,,
s2b_47d58d9e3aca0617e92492a8,Which candidate sounds more like the query overall?,,,,
s2b_db0cc315c3c0fff6c13a567f,Which candidate sounds more like the query overall?,,,,
s2b_3789cde06c31a9fce3f6a124,Which candidate sounds more like the query overall?,,,,
s2b_e1a2d821c8652b0966ebe6c6,Which candidate sounds more like the query overall?,,,,
s2b_a6411ebbad91c768e5abe6a3,Which candidate sounds more like the query overall?,,,,
s2b_8837f20a769aab0224eca7af,Which candidate sounds more like the query overall?,,,,
s2b_10c20e38169cd61735dba487,Which candidate sounds more like the query overall?,,,,
s2b_9accf11177fafb80e60784fd,Which candidate sounds more like the query overall?,,,,
s2b_aeb34fc8a53aade4dd6b2ddd,Which candidate sounds more like the query overall?,,,,
s2b_0b5f22a6cedcd5a5b6067e64,Which candidate sounds more like the query overall?,,,,
s2b_cf6e6acc52d55ab1c52b076b,Which candidate sounds more like the query overall?,,,,
s2b_0e69cdf9a6fab81a6fd6e556,Which candidate sounds more like the query overall?,,,,
s2b_f21cf4def276166a66a08553,Which candidate sounds more like the query overall?,,,,
s2b_20dba19b34f3a7fd5ac52f03,Which candidate sounds more like the query overall?,,,,
s2b_cef8a47f5e20328a843a7838,Which candidate sounds more like the query overall?,,,,
s2b_5ee4ddeada91eea2cc36942c,Which candidate sounds more like the query overall?,,,,
s2b_8e44cca24a1744fdce6ad7a2,Which candidate sounds more like the query overall?,,,,
s2b_63126af2681268860b842f76,Which candidate sounds more like the query overall?,,,,
s2b_a66748012a5430d452684822,Which candidate sounds more like the query overall?,,,,
s2b_98165a35d17b222e3b705dd2,Which candidate sounds more like the query overall?,,,,
s2b_87a0075f4b9fdb212922f703,Which candidate sounds more like the query overall?,,,,
s2b_cd9348d79cb5ecd70024e779,Which candidate sounds more like the query overall?,,,,
s2b_13daea9d79e7a97d0cf19489,Which candidate sounds more like the query overall?,,,,
s2b_01da24fe37f3266072f0384a,Which candidate sounds more like the query overall?,,,,
s2b_031e4b4f3683ac39c7524e2c,Which candidate sounds more like the query overall?,,,,
s2b_20f7b862fab83a75f99e93d1,Which candidate sounds more like the query overall?,,,,
s2b_121effc085d3f97cea831cb5,Which candidate sounds more like the query overall?,,,,
s2b_5e823418e473d5db6699a2de,Which candidate sounds more like the query overall?,,,,
s2b_065cd8e0210ff61667682e70,Which candidate sounds more like the query overall?,,,,
s2b_9697216e862302b6deb68193,Which candidate sounds more like the query overall?,,,,
s2b_49f5cd3e0f9c5638aa0fb4b0,Which candidate sounds more like the query overall?,,,,
s2b_400bf6f4de6fc2d8297d0c94,Which candidate sounds more like the query overall?,,,,
s2b_00f3bdc43fe1e2a240aed3e3,Which candidate sounds more like the query overall?,,,,
s2b_3fc8983a34bb453a03ca9022,Which candidate sounds more like the query overall?,,,,
s2b_333ddbead16fd72fd1089f24,Which candidate sounds more like the query overall?,,,,
s2b_16c6f61cfae88bbbdafd7af5,Which candidate sounds more like the query overall?,,,,
s2b_a0a2eeba2fd29378d6af1311,Which candidate sounds more like the query overall?,,,,
s2b_4f69dde42def9688fd2403e0,Which candidate sounds more like the query overall?,,,,
s2b_0926031d256c19619ffd9e30,Which candidate sounds more like the query overall?,,,,
s2b_f97f3b3dd6ad29d622066079,Which candidate sounds more like the query overall?,,,,
s2b_357f41da3aad387224afb5ec,Which candidate sounds more like the query overall?,,,,
s2b_55965a936e2e300558741bfc,Which candidate sounds more like the query overall?,,,,
s2b_493a345343843e956e9c720d,Which candidate sounds more like the query overall?,,,,
s2b_2168ecbc52499fd1427ba2e6,Which candidate sounds more like the query overall?,,,,
s2b_e6c69206ff2aefe3944df70a,Which candidate sounds more like the query overall?,,,,
s2b_50a94d64f95b2e20686330b1,Which candidate sounds more like the query overall?,,,,
s2b_48877ea6472116f0154acb92,Which candidate sounds more like the query overall?,,,,
s2b_8938b1dd98eff323ec5179e5,Which candidate sounds more like the query overall?,,,,
s2b_c2e3200efe90bfed82dc379a,Which candidate sounds more like the query overall?,,,,
s2b_c9de017df9d6ff1bcfaf0677,Which candidate sounds more like the query overall?,,,,
s2b_1c5a8eddc76f28fc91cc6716,Which candidate sounds more like the query overall?,,,,
s2b_88e39975834e928cc0f6109b,Which candidate sounds more like the query overall?,,,,
s2b_c23e00152b7624ebd8337c41,Which candidate sounds more like the query overall?,,,,
s2b_a154b6eeb425d6b47f20efb8,Which candidate sounds more like the query overall?,,,,
s2b_d665810c987729fdf04a66c1,Which candidate sounds more like the query overall?,,,,
s2b_3199911328fec44b2e8668f6,Which candidate sounds more like the query overall?,,,,
s2b_abfa4cd6f98489b561387a9d,Which candidate sounds more like the query overall?,,,,
s2b_ff66aa961ee09beec88fb9ba,Which candidate sounds more like the query overall?,,,,
s2b_f85fd3dd263cef72efa6b319,Which candidate sounds more like the query overall?,,,,
s2b_d2a7e2b99f8ada82198ee6ea,Which candidate sounds more like the query overall?,,,,
s2b_4458cf3a28ea6fee41e9f9d8,Which candidate sounds more like the query overall?,,,,
s2b_6a9c96fe65c180c9301ceba5,Which candidate sounds more like the query overall?,,,,
s2b_6bb1f3d968654528bc7f7f57,Which candidate sounds more like the query overall?,,,,
s2b_6bbf981ad6957e05ecf53b39,Which candidate sounds more like the query overall?,,,,
s2b_5ea352656de204c4931658e6,Which candidate sounds more like the query overall?,,,,
s2b_9ce611cea9c1286aceabeb7c,Which candidate sounds more like the query overall?,,,,
s2b_60e30f48e8ed20b7676b6789,Which candidate sounds more like the query overall?,,,,
s2b_ba0121de5f25c7a86d2a5a5c,Which candidate sounds more like the query overall?,,,,
s2b_63cdc53052207679925ea6d9,Which candidate sounds more like the query overall?,,,,
s2b_7353f10c636ef7679010bf98,Which candidate sounds more like the query overall?,,,,
s2b_f4cae326a8d3bdea96597b14,Which candidate sounds more like the query overall?,,,,
s2b_4f2b16285982832b310c6715,Which candidate sounds more like the query overall?,,,,
s2b_cffbe4c2aa0e242a6e1668bb,Which candidate sounds more like the query overall?,,,,
s2b_1acec3c97c252875d8a5469e,Which candidate sounds more like the query overall?,,,,
s2b_e4f56bc33f90599bd6259a4c,Which candidate sounds more like the query overall?,,,,
s2b_c49522b83069607bca127588,Which candidate sounds more like the query overall?,,,,
s2b_5f58ca9cf614840bbe68502c,Which candidate sounds more like the query overall?,,,,
s2b_3958015275e803fa181e56ad,Which candidate sounds more like the query overall?,,,,
s2b_9707d2ae6cb447efebec05cd,Which candidate sounds more like the query overall?,,,,
s2b_876714a8f4f760e9514160a1,Which candidate sounds more like the query overall?,,,,
s2b_71bc2d52911add1fd672d4bb,Which candidate sounds more like the query overall?,,,,
s2b_ec1a056d94b2b658a58c1bac,Which candidate sounds more like the query overall?,,,,
s2b_d0678bf47d1a0f9d90efe0a8,Which candidate sounds more like the query overall?,,,,
s2b_5ffe4fd98f734ec2fa17d544,Which candidate sounds more like the query overall?,,,,
s2b_876008cc557f384cbb8527cf,Which candidate sounds more like the query overall?,,,,
s2b_7aacf93ca0668f0feadc7ea4,Which candidate sounds more like the query overall?,,,,
s2b_f5f79a51a8f0c1cf6a8a3cd3,Which candidate sounds more like the query overall?,,,,
s2b_c6eec90a5913839296b642cf,Which candidate sounds more like the query overall?,,,,
s2b_b051b711d14dee714cb8fd13,Which candidate sounds more like the query overall?,,,,
s2b_889cf261cb931d7fd370abd2,Which candidate sounds more like the query overall?,,,,
s2b_c5bbd3f06c3b00cda5d89132,Which candidate sounds more like the query overall?,,,,
