trial_id,query_track_id,a_title,a_artist,b_title,b_artist,question,choice,note,rated_by
48442:H5,48442,Košielka,Abraka Dub,Hunters Moon,Secret Archives of the Vatican,Which clip sounds MORE like the query overall?,,,
52393:H1,52393,Burn,Room For A Ghost,A04 Smoke Weed,Mom Jeans,Which clip sounds MORE like the query overall?,,,
52393:H2,52393,A04 Smoke Weed,Mom Jeans,"Between / Associated (live in Cogitatur Theatre, Katowice, 23.03.2002)",MOAN,Which clip sounds MORE like the query overall?,,,
52393:H3,52393,Burn,Room For A Ghost,"Between / Associated (live in Cogitatur Theatre, Katowice, 23.03.2002)",MOAN,Which clip sounds MORE like the query overall?,,,
52393:H4,52393,My Feet Beneath The Water,The Golden Hours,Glimpse,Phemale,Which clip sounds MORE like the query overall?,,,
52393:H5,52393,I,Nocturnal Mayhem,A04 Smoke Weed,Mom Jeans,Which clip sounds MORE like the query overall?,,,
62450:H1,62450,Julia,Jahzzar,Don't You Worry,Tricky Diesel,Which clip sounds MORE like the query overall?,,,
62450:H2,62450,Banish,Sláinte,Julia,Jahzzar,Which clip sounds MORE like the query overall?,,,
62450:H3,62450,Julia,Jahzzar,Mirror Friends,Lucky Dragons,Which clip sounds MORE like the query overall?,,,
62450:H4,62450,Banish,Sláinte,Don't You Worry,Tricky Diesel,Which clip sounds MORE like the query overall?,,,
62450:H5,62450,Mirror Friends,Lucky Dragons,Don't You Worry,Tricky Diesel,Which clip sounds MORE like the query overall?,,,
62450:H6,62450,Mirror Friends,Lucky Dragons,Banish,Sláinte,Which clip sounds MORE like the query overall?,,,
62450:H7,62450,Song for Sonny,Plusplus,Cabinet Of Curiosities,Jacco Gardner,Which clip sounds MORE like the query overall?,,,
62450:H8,62450,Don't You Worry,Tricky Diesel,Cabinet Of Curiosities,Jacco Gardner,Which clip sounds MORE like the query overall?,,,
64567:H1,64567,Fever of Terror,Fever Dream,One Day,Fierbinteanu,Which clip sounds MORE like the query overall?,,,
64567:H2,64567,Befall,Fever Dream,Against The Gates,Vows,Which clip sounds MORE like the query overall?,,,
68840:H1,68840,Old Molly Hare,Howie Mitchell,David's Tune,Howie Mitchell,Which clip sounds MORE like the query overall?,,,
68840:H2,68840,David's Tune,Howie Mitchell,Wedding Dress,Howie Mitchell,Which clip sounds MORE like the query overall?,,,
68840:H3,68840,Lucky's Tune,Howie Mitchell,David's Tune,Howie Mitchell,Which clip sounds MORE like the query overall?,,,
68840:H4,68840,13. Dis (Live),Ljudske Potrebe,David's Tune,Howie Mitchell,Which clip sounds MORE like the query overall?,,,
68844:H1,68844,You're So Funny,Josh Armistead,"If I Am Mad, It Is Mercy",The Unnameable,Which clip sounds MORE like the query overall?,,,
75317:H1,75317,Ugly,Vienna Ditto,Shoegazing Ants,Etcetera Music,Which clip sounds MORE like the query overall?,,,
75317:H2,75317,Shoegazing Ants,Etcetera Music,Goldenshteyn,Rozsa has become... Madárka,Which clip sounds MORE like the query overall?,,,
75317:H3,75317,Ugly,Vienna Ditto,Goldenshteyn,Rozsa has become... Madárka,Which clip sounds MORE like the query overall?,,,
75317:H4,75317,Why Don't You Sing A Happy Song,Rodd Keith,In The Fall,Future Islands,Which clip sounds MORE like the query overall?,,,
75317:H5,75317,Why Don't You Sing A Happy Song,Rodd Keith,Composition No. 183,Anthony Braxton,Which clip sounds MORE like the query overall?,,,
75317:H6,75317,Abba Ingee,Bryyn,Shoegazing Ants,Etcetera Music,Which clip sounds MORE like the query overall?,,,
84095:H1,84095,Psion,Quaro,Garden Theme,Deltason,Which clip sounds MORE like the query overall?,,,
87190:H1,87190,I Saw A Ghost,Wintermitts,Creepin' Crazy Time,Big Blood,Which clip sounds MORE like the query overall?,,,
87190:H2,87190,Creepin' Crazy Time,Big Blood,Feed The One,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
87190:H3,87190,I Saw A Ghost,Wintermitts,Feed The One,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
87190:H4,87190,Careful,Wintermitts,Distant Lover,Myndra,Which clip sounds MORE like the query overall?,,,
87190:H5,87190,Distant Lover,Myndra,I Saw A Ghost,Wintermitts,Which clip sounds MORE like the query overall?,,,
87190:H6,87190,Climbing To The Top,Ed Askew,Creepin' Crazy Time,Big Blood,Which clip sounds MORE like the query overall?,,,
92885:H1,92885,Bridgewater Triangle,happiness in aeroplanes,Waltz of Obsolescence,J. Surak,Which clip sounds MORE like the query overall?,,,
92885:H2,92885,Bridgewater Triangle,happiness in aeroplanes,trASh piANo 1,Martin Rach,Which clip sounds MORE like the query overall?,,,
92885:H3,92885,trASh piANo 1,Martin Rach,Waltz of Obsolescence,J. Surak,Which clip sounds MORE like the query overall?,,,
92885:H4,92885,Foyer Crowd,Benboncan,Bleach Bypass Landscape,The Fucked Up Beat,Which clip sounds MORE like the query overall?,,,
92885:H5,92885,Foyer Crowd,Benboncan,Java Pop,Spires That in the Sunset Rise,Which clip sounds MORE like the query overall?,,,
92885:H6,92885,Desconocido,Fósforo,Bridgewater Triangle,happiness in aeroplanes,Which clip sounds MORE like the query overall?,,,
94465:H1,94465,Wave a White Flag (Surrender),Monk Turner,Proyecto U-90,Gabriel Pereira Spurr,Which clip sounds MORE like the query overall?,,,
106277:H1,106277,A 1 Freedom voice of my soul,Art Boys Collection,It Could Be You,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
106277:H2,106277,They Seem To Be Intelligent (dustmotes Remix),Garmisch,It Could Be You,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
106277:H3,106277,They Seem To Be Intelligent (dustmotes Remix),Garmisch,A 1 Freedom voice of my soul,Art Boys Collection,Which clip sounds MORE like the query overall?,,,
106277:H4,106277,carnival,Underling,Stumble,Just Plain Ant,Which clip sounds MORE like the query overall?,,,
106277:H5,106277,It Could Be You,Lorenzo's Music,Sure,Poland,Which clip sounds MORE like the query overall?,,,
107027:H1,107027,Incredible Things (Instrumental),Deadly Combo,ONLYGIRL,Phemale,Which clip sounds MORE like the query overall?,,,
107027:H2,107027,Just A Little Love We Need,Jerry Harris,ONLYGIRL,Phemale,Which clip sounds MORE like the query overall?,,,
107249:H1,107249,El Arco Iris,Cordero,Robot Gedonist,Vanya Zhuk,Which clip sounds MORE like the query overall?,,,
107249:H2,107249,Under The Sea,The IMG,Santa Claus is Coming to Town,Jackie & The Cedrics,Which clip sounds MORE like the query overall?,,,
107249:H3,107249,Sweet Girl,Rakiya,Santa Claus is Coming to Town,Jackie & The Cedrics,Which clip sounds MORE like the query overall?,,,
107249:H4,107249,Robot Gedonist,Vanya Zhuk,Plantopia,Plusplus,Which clip sounds MORE like the query overall?,,,
110262:H1,110262,Riff Cloud,Raya Brass Band,Calling on Jah Dub,Don Goliath,Which clip sounds MORE like the query overall?,,,
110262:H2,110262,Catch vampire Dub,Don Goliath,Riff Cloud,Raya Brass Band,Which clip sounds MORE like the query overall?,,,
110262:H3,110262,I.D.K.?,K.I.R.K,Don't Stop,Kellee Maize,Which clip sounds MORE like the query overall?,,,
110262:H4,110262,I.D.K.?,K.I.R.K,Fallaste al sacar tu cuenta,SONGO 21,Which clip sounds MORE like the query overall?,,,
110262:H5,110262,Fallaste al sacar tu cuenta,SONGO 21,Catch Me (J. Glaze Remix),Kellee Maize & J. Glaze Productions,Which clip sounds MORE like the query overall?,,,
110262:H6,110262,Calling on Jah Dub,Don Goliath,Hollow Notes,Novi Split,Which clip sounds MORE like the query overall?,,,
113167:H1,113167,Four Walls,Derek Clegg,Fair,Derek Clegg,Which clip sounds MORE like the query overall?,,,
113167:H2,113167,Devastation and Revenge,Kevin MacLeod,Fair,Derek Clegg,Which clip sounds MORE like the query overall?,,,
113167:H3,113167,Swingin' Low,Melaena Cadiz,Fair,Derek Clegg,Which clip sounds MORE like the query overall?,,,
113167:H4,113167,Devastation and Revenge,Kevin MacLeod,Four Walls,Derek Clegg,Which clip sounds MORE like the query overall?,,,
113167:H5,113167,Four Walls,Derek Clegg,Swingin' Low,Melaena Cadiz,Which clip sounds MORE like the query overall?,,,
113167:H6,113167,Devastation and Revenge,Kevin MacLeod,Swingin' Low,Melaena Cadiz,Which clip sounds MORE like the query overall?,,,
113167:H7,113167,Marvelous,Derek Clegg,Blue Daisy,The Wingdale Community Singers,Which clip sounds MORE like the query overall?,,,
113167:H8,113167,Out of Time,Palloc,Blue Daisy,The Wingdale Community Singers,Which clip sounds MORE like the query overall?,,,
114223:H1,114223,Squire Tuck - Rush to the Head,Squire Tuck,Ukulele Blues,Squire Tuck,Which clip sounds MORE like the query overall?,,,
114223:H2,114223,Ukulele Blues,Squire Tuck,You Don't Get Much,Big White,Which clip sounds MORE like the query overall?,,,
115700:H1,115700,Brilliant Brightness,Dolorvotre,First Movement,Z'EV,Which clip sounds MORE like the query overall?,,,
120770:H1,120770,Gloom,SPCZ,E.M.F.H.,Raw Stiles,Which clip sounds MORE like the query overall?,,,
120770:H2,120770,Noodie,Shy Kids,Gloom,SPCZ,Which clip sounds MORE like the query overall?,,,
120770:H3,120770,Gloom,SPCZ,Speleology,Resonancedj & Giulio Maddaloni,Which clip sounds MORE like the query overall?,,,
120770:H4,120770,Noodie,Shy Kids,E.M.F.H.,Raw Stiles,Which clip sounds MORE like the query overall?,,,
120770:H5,120770,E.M.F.H.,Raw Stiles,Speleology,Resonancedj & Giulio Maddaloni,Which clip sounds MORE like the query overall?,,,
120770:H6,120770,Speleology,Resonancedj & Giulio Maddaloni,Noodie,Shy Kids,Which clip sounds MORE like the query overall?,,,
120770:H7,120770,Moving Toward You,Str8 Sounds,RUDA,How I Quit Crack,Which clip sounds MORE like the query overall?,,,
120770:H8,120770,E.M.F.H.,Raw Stiles,Moving Toward You,Str8 Sounds,Which clip sounds MORE like the query overall?,,,
124913:H1,124913,Ghost By Nature - Soul Inspector,Krowne,The Squelch,Phish Funk,Which clip sounds MORE like the query overall?,,,
124913:H2,124913,Ghost By Nature - Soul Inspector,Krowne,Come to Me,Rony Friedman,Which clip sounds MORE like the query overall?,,,
124913:H3,124913,The Squelch,Phish Funk,Come to Me,Rony Friedman,Which clip sounds MORE like the query overall?,,,
124913:H4,124913,Donde Estabas-tu ?,SONGO 21,Ghost By Nature - Soul Inspector,Krowne,Which clip sounds MORE like the query overall?,,,
125193:H1,125193,We Keep The Same Hours,Sleep Out,Quique,Cordero,Which clip sounds MORE like the query overall?,,,
125814:H1,125814,Αρχαία Μουσική Για Σύγχρονη Φορές (Ancient Music For Modern Times),Jared C. Balogh,Grand Caravan,Blue Dot Sessions,Which clip sounds MORE like the query overall?,,,
125814:H2,125814,Αρχαία Μουσική Για Σύγχρονη Φορές (Ancient Music For Modern Times),Jared C. Balogh,Nuthatch,Blue Dot Sessions,Which clip sounds MORE like the query overall?,,,
131410:H1,131410,Dear Giulietta,Kraus,Bullets Have No Effect,Pilesar,Which clip sounds MORE like the query overall?,,,
131410:H2,131410,Bullets Have No Effect,Pilesar,Now You Are Here,Sergey Cheremisinov,Which clip sounds MORE like the query overall?,,,
131410:H3,131410,Now You Are Here,Sergey Cheremisinov,Dear Giulietta,Kraus,Which clip sounds MORE like the query overall?,,,
131410:H4,131410,Dreamstalker,Squire Tuck,R.A.H.M.A.V.N. [221],SULCUS,Which clip sounds MORE like the query overall?,,,
131410:H5,131410,Dreamstalker,Squire Tuck,® o c k e t s,Shy Kids,Which clip sounds MORE like the query overall?,,,
131410:H6,131410,Colorful Lights,Sad Soul Circus,Bullets Have No Effect,Pilesar,Which clip sounds MORE like the query overall?,,,
134823:H1,134823,Idle Hands,The Impossebulls,One Hundred 10 (BPM) (Instrumental),The Impossebulls,Which clip sounds MORE like the query overall?,,,
134823:H2,134823,The Dream,Marcos H. Bolanos,Idle Hands,The Impossebulls,Which clip sounds MORE like the query overall?,,,
143098:H1,143098,Río,Flor Braier,New Brigade,Ice Age,Which clip sounds MORE like the query overall?,,,
149712:H1,149712,11 Master Of Pizza,NanowaR,Walrus,Ergo Phizmiz,Which clip sounds MORE like the query overall?,,,
149712:H2,149712,11 Master Of Pizza,NanowaR,Sweet Girl,Rakiya,Which clip sounds MORE like the query overall?,,,
149712:H3,149712,11 Master Of Pizza,NanowaR,Dia Inteiro,Zé Trigueiros,Which clip sounds MORE like the query overall?,,,
149712:H4,149712,Walrus,Ergo Phizmiz,Sweet Girl,Rakiya,Which clip sounds MORE like the query overall?,,,
149712:H5,149712,Dia Inteiro,Zé Trigueiros,Walrus,Ergo Phizmiz,Which clip sounds MORE like the query overall?,,,
149712:H6,149712,Dia Inteiro,Zé Trigueiros,Sweet Girl,Rakiya,Which clip sounds MORE like the query overall?,,,
149712:H7,149712,Walking in the Boots of Old Cowboys,Squire Tuck,No Pilot,Eidetic Seeing,Which clip sounds MORE like the query overall?,,,
149712:H8,149712,Walrus,Ergo Phizmiz,Walking in the Boots of Old Cowboys,Squire Tuck,Which clip sounds MORE like the query overall?,,,
