stage5c1_track_id,spotify_track_id,spotify_target,group,top5_combined_neighbors,expected_group_relationship,inspection_priority,analyst_assessment,observed_relationship_note,human_sanity_label,human_note
stage5c1_C01,5pSflTWYmlRVthO8CZpRem,"i want you to help me live — Bonjr, Thomas Reid, versor",C,stage5c1_A03 Château Fountain [A]=0.7368 | stage5c1_A01 Snow White Petals and Lights [A]=0.7335 | stage5c1_C05 Cut My Hair [C]=0.7282 | stage5c1_A02 To Be Honest I Just Want to Eat Noodles with You [A]=0.7134 | stage5c1_C04 Grape Soda [C]=0.7029,"Cross-artist lo-fi/chillhop tracks should cluster through soft drums, mellow samples, restrained dynamics, and hazy texture rather than artist identity.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,2/5 combined neighbors are from the intended group.,,
stage5c1_C02,41hXE5S8D4mRfcdqSMpmAC,The Girl Next Door — Tomppabeats,C,stage5c1_C04 Grape Soda [C]=0.8024 | stage5c1_A01 Snow White Petals and Lights [A]=0.7683 | stage5c1_C05 Cut My Hair [C]=0.7422 | stage5c1_D05 Deja Vu [D]=0.7177 | stage5c1_B05 Ash [B]=0.6939,"Cross-artist lo-fi/chillhop tracks should cluster through soft drums, mellow samples, restrained dynamics, and hazy texture rather than artist identity.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,2/5 combined neighbors are from the intended group.,,
stage5c1_C03,4fgIoBKHzO7YO5eATyYbMl,in your arms — Saib,C,stage5c1_A02 To Be Honest I Just Want to Eat Noodles with You [A]=0.6530 | stage5c1_A03 Château Fountain [A]=0.6515 | stage5c1_A04 Soundlessly in the Wind Like Lost Souls [A]=0.6324 | stage5c1_C05 Cut My Hair [C]=0.6145 | stage5c1_C01 i want you to help me live [C]=0.5813,"Cross-artist lo-fi/chillhop tracks should cluster through soft drums, mellow samples, restrained dynamics, and hazy texture rather than artist identity.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,2/5 combined neighbors are from the intended group.,,
stage5c1_C04,1VFbHdNzYUJr0FsxoayP1N,Grape Soda — Rook1e,C,stage5c1_C02 The Girl Next Door [C]=0.8024 | stage5c1_C05 Cut My Hair [C]=0.7739 | stage5c1_A01 Snow White Petals and Lights [A]=0.7493 | stage5c1_C01 i want you to help me live [C]=0.7029 | stage5c1_A04 Soundlessly in the Wind Like Lost Souls [A]=0.6982,"Cross-artist lo-fi/chillhop tracks should cluster through soft drums, mellow samples, restrained dynamics, and hazy texture rather than artist identity.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,3/5 combined neighbors are from the intended group.,,
stage5c1_C05,3JbyoXyJvsfAPx87INISmp,"Cut My Hair — Mounika., Cavetown",C,stage5c1_A01 Snow White Petals and Lights [A]=0.7798 | stage5c1_C04 Grape Soda [C]=0.7739 | stage5c1_C02 The Girl Next Door [C]=0.7422 | stage5c1_C01 i want you to help me live [C]=0.7282 | stage5c1_D05 Deja Vu [D]=0.7175,"Cross-artist lo-fi/chillhop tracks should cluster through soft drums, mellow samples, restrained dynamics, and hazy texture rather than artist identity.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,3/5 combined neighbors are from the intended group.,,
stage5c1_D01,7tNJeoUZeWrVOCfvpAHWT1,TKO — IVE,D,stage5c1_B04 UNFORGIVEN (feat. Nile Rodgers) [B]=0.9151 | stage5c1_B03 Sour Grapes [B]=0.8333 | stage5c1_D03 BBIBBI [D]=0.7979 | stage5c1_B01 We got so much [B]=0.7896 | stage5c1_D04 FaSHioN [D]=0.7402,"Rhythmic, polished Korean pop and pop-rap productions should form a second cross-artist cluster that is audibly distinct from the mellow lo-fi Group C.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,2/5 combined neighbors are from the intended group.,,
stage5c1_D02,1iIhGHzzrzqQfuNkFI2qAn,Any song — ZICO,D,stage5c1_C05 Cut My Hair [C]=0.6874 | stage5c1_D03 BBIBBI [D]=0.6759 | stage5c1_C04 Grape Soda [C]=0.6739 | stage5c1_E03 The Way Life Goes (feat. Oh Wonder) [E]=0.6708 | stage5c1_B01 We got so much [B]=0.6190,"Rhythmic, polished Korean pop and pop-rap productions should form a second cross-artist cluster that is audibly distinct from the mellow lo-fi Group C.",ROUTINE,MIXED_BUT_PLAUSIBLE,One same-group neighbor appears in the Top-5; cross-group matches should be inspected for shared production or instrumentation.,,
stage5c1_D03,4as4XEOR03oGm1STUKl6pa,BBIBBI — IU,D,stage5c1_B03 Sour Grapes [B]=0.8183 | stage5c1_B01 We got so much [B]=0.8114 | stage5c1_D01 TKO [D]=0.7979 | stage5c1_B04 UNFORGIVEN (feat. Nile Rodgers) [B]=0.7727 | stage5c1_D02 Any song [D]=0.6759,"Rhythmic, polished Korean pop and pop-rap productions should form a second cross-artist cluster that is audibly distinct from the mellow lo-fi Group C.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,2/5 combined neighbors are from the intended group.,,
stage5c1_D04,4ecdsGz3Hg6TKPwQ0ZOdJz,FaSHioN — CORTIS,D,stage5c1_D05 Deja Vu [D]=0.8257 | stage5c1_E03 The Way Life Goes (feat. Oh Wonder) [E]=0.8214 | stage5c1_B04 UNFORGIVEN (feat. Nile Rodgers) [B]=0.7506 | stage5c1_D01 TKO [D]=0.7402 | stage5c1_B03 Sour Grapes [B]=0.6854,"Rhythmic, polished Korean pop and pop-rap productions should form a second cross-artist cluster that is audibly distinct from the mellow lo-fi Group C.",ROUTINE,EXPECTED_STRUCTURE_VISIBLE,2/5 combined neighbors are from the intended group.,,
stage5c1_D05,3aAnwyBJY9OLNLqSgd4fZU,Deja Vu — TOMORROW X TOGETHER,D,stage5c1_E03 The Way Life Goes (feat. Oh Wonder) [E]=0.8414 | stage5c1_D04 FaSHioN [D]=0.8257 | stage5c1_A01 Snow White Petals and Lights [A]=0.7613 | stage5c1_C02 The Girl Next Door [C]=0.7177 | stage5c1_C05 Cut My Hair [C]=0.7175,"Rhythmic, polished Korean pop and pop-rap productions should form a second cross-artist cluster that is audibly distinct from the mellow lo-fi Group C.",ROUTINE,MIXED_BUT_PLAUSIBLE,One same-group neighbor appears in the Top-5; cross-group matches should be inspected for shared production or instrumentation.,,
stage5c1_E01,35IcAVSMsU9qzHfpPbvC8A,Feels Like — Gracie Abrams,E,stage5c1_E05 I Will Go To You Like the First Snow [E]=0.8193 | stage5c1_B03 Sour Grapes [B]=0.7441 | stage5c1_B05 Ash [B]=0.6896 | stage5c1_C05 Cut My Hair [C]=0.6714 | stage5c1_C01 i want you to help me live [C]=0.6447,"These acoustic pop, distorted electronic, melodic rap, solo piano, and orchestral ballad tracks should have lower and more varied mutual similarities than the positive-control clusters.",ROUTINE,NEGATIVE_CONTROL_VARIED,"Top-5 spans 3 groups; local acoustic, rap, piano, or ballad affinities may still be musically meaningful.",,
stage5c1_E02,2oRNyf4qlAzGz6LljMcDJp,cliche — 2hollis,E,stage5c1_E03 The Way Life Goes (feat. Oh Wonder) [E]=0.7332 | stage5c1_D04 FaSHioN [D]=0.6745 | stage5c1_D05 Deja Vu [D]=0.6325 | stage5c1_B05 Ash [B]=0.6297 | stage5c1_E01 Feels Like [E]=0.6230,"These acoustic pop, distorted electronic, melodic rap, solo piano, and orchestral ballad tracks should have lower and more varied mutual similarities than the positive-control clusters.",ROUTINE,NEGATIVE_CONTROL_VARIED,"Top-5 spans 3 groups; local acoustic, rap, piano, or ballad affinities may still be musically meaningful.",,
stage5c1_E03,2eAZfqOm4EnOF9VvN50Tyc,"The Way Life Goes (feat. Oh Wonder) — Lil Uzi Vert, Oh Wonder",E,stage5c1_D05 Deja Vu [D]=0.8414 | stage5c1_D04 FaSHioN [D]=0.8214 | stage5c1_E02 cliche [E]=0.7332 | stage5c1_C05 Cut My Hair [C]=0.6856 | stage5c1_D02 Any song [D]=0.6708,"These acoustic pop, distorted electronic, melodic rap, solo piano, and orchestral ballad tracks should have lower and more varied mutual similarities than the positive-control clusters.",ROUTINE,NEGATIVE_CONTROL_VARIED,"Top-5 spans 3 groups; local acoustic, rap, piano, or ballad affinities may still be musically meaningful.",,
stage5c1_E04,5lYv58lizCFl1c15K3yan9,Temple of Time — Paintamelody,E,stage5c1_A04 Soundlessly in the Wind Like Lost Souls [A]=0.7102 | stage5c1_E05 I Will Go To You Like the First Snow [E]=0.7003 | stage5c1_A01 Snow White Petals and Lights [A]=0.6375 | stage5c1_A05 Lost Birds in Heaven's Gaze [A]=0.6208 | stage5c1_C04 Grape Soda [C]=0.5937,"These acoustic pop, distorted electronic, melodic rap, solo piano, and orchestral ballad tracks should have lower and more varied mutual similarities than the positive-control clusters.",ROUTINE,NEGATIVE_CONTROL_VARIED,"Top-5 spans 3 groups; local acoustic, rap, piano, or ballad affinities may still be musically meaningful.",,
stage5c1_E05,2BPXILn0MqOe5WroVXlvN1,I Will Go To You Like the First Snow — AILEE,E,stage5c1_B03 Sour Grapes [B]=0.8217 | stage5c1_E01 Feels Like [E]=0.8193 | stage5c1_E04 Temple of Time [E]=0.7003 | stage5c1_B05 Ash [B]=0.6811 | stage5c1_A04 Soundlessly in the Wind Like Lost Souls [A]=0.6766,"These acoustic pop, distorted electronic, melodic rap, solo piano, and orchestral ballad tracks should have lower and more varied mutual similarities than the positive-control clusters.",ROUTINE,NEGATIVE_CONTROL_VARIED,"Top-5 spans 3 groups; local acoustic, rap, piano, or ballad affinities may still be musically meaningful.",,
